階層	プリセット/名/グループ名	leaf_type (葉の種類)	genus (属)	species (学名)	species:ja (日本語名)	species:en (英語名)	species:ko(韓国語名)	taxon (分類名)	sex (雌雄)	leaf_cycle (葉の季節変化)	Wikidata ID	韓国語名
-	イチョウ	needleleaved (針葉樹)	Ginkgo	Ginkgo biloba	イチョウ	Ginkgo	은행나무	Ginkgo biloba	yes	deciduous (落葉樹)	Q43284	은행나무
-	スギ	needleleaved (針葉樹)	Cryptomeria	Cryptomeria japonica	スギ	Cryptomeria	삼나무	Cryptomeria japonica	no	evergreen (常緑樹)	Q147388	삼나무
-	ヒマラヤスギ	needleleaved (針葉樹)	Cedrus	Cedrus deodara	ヒマラヤスギ	Himalayan Cedar	개잎갈나무	Cedrus deodara	no	evergreen (常緑樹)	Q146935	개잎갈나무
+	マツ											소나무
 -	マツ (総称)	needleleaved (針葉樹)	Pinus		マツ	Pine	소나무		no	evergreen (常緑樹)	Q12024	소나무(총칭)
 -	アカマツ	needleleaved (針葉樹)	Pinus	Pinus densiflora	アカマツ	Japanese Red Pine	적송	Pinus densiflora	no	evergreen (常緑樹)	Q1044186	적송
 -	クロマツ	needleleaved (針葉樹)	Pinus	Pinus thunbergii	クロマツ	Japanese Black Pine	흑송	Pinus thunbergii	no	evergreen (常緑樹)	Q854884	흑송
-	クスノキ	broadleaved (広葉樹)	Cinnamomum	Cinnamomum camphora	クスノキ	Camphorwood	녹나무	Cinnamomum camphora	no	evergreen (常緑樹)	Q158722	녹나무
-	ケヤキ	broadleaved (広葉樹)	Zelkova	Zelkova serrata	ケヤキ	Japanese zelkova	느티나무	Zelkova serrata	no	deciduous (落葉樹)	Q920344	느티나무
-	クヌギ	broadleaved (広葉樹)	Quercus	Quercus acutissima	クヌギ	Sawtooth Oak	상수리나무		no	deciduous (落葉樹)	Q1034859	상수리나무
-	カシワ	broadleaved (広葉樹)	Quercus	Quercus dentata	カシワ	Daimyo Oak	떡갈나무	Quercus dentata	no	deciduous (落葉樹)	Q1377319	떡갈나무
-	シラカシ	broadleaved (広葉樹)	Quercus	Quercus myrsinifolia	シラカシ	Bamboo-leaf oak	가시나무	Quercus myrsinifolia	no	evergreen (常緑樹)	Q1075985	가시나무
-	カツラ	broadleaved (広葉樹)	Cercidiphyllum	Cercidiphyllum japonicum	カツラ	Katsura	계수나무	Cercidiphyllum japonicum	no	deciduous (落葉樹)	Q526549	계수나무
-	ウメ	broadleaved (広葉樹)	Prunus	Prunus mume	ウメ	Japanese apricot	매실나무	Prunus mume	no	deciduous (落葉樹)	Q157763	매실나무
